"","code","name","min_negotiated_price","max_negotiated_price"
"1","CPT-0001A","imm admn sarscov2 30mcg/0.3ml dil recon 1st d",47.1,65.47
"2","CPT-0001F","hrt failure assessed",8.71,18.37
"3","CPT-0001U","rbc dna hea 35 ag 11 bld grp whl bld cmn alle",628.56,1676.16
"4","CPT-0002A","imm admn sarscov2 30mcg/0.3ml dil recon 2nd d",47.1,65.47
"5","CPT-0002M","liver dis 10 assays serum algorithm w/ash",91.4,1026.94
"6","CPT-0002U","onc clrct quan 3 ur metabolites alg adnmts pl",19.12,51
"7","CPT-0003A","imm admn sarscov2 30mcg/0.3ml dil recon 3rd d",47.1,65.47
"8","CPT-0003M","liver dis 10 assays serum algorithm w/nash",91.4,1026.94
"9","CPT-0003U","onc ovarian assay 5 proteins serum alg scor",795.15,2120.4
"10","CPT-0004A","imm admn sarscov2 30mcg/0.3ml dil recon bst d",47.1,65.47
"11","CPT-0004M","scoliosis 53 snps saliva prognostic risk scor",68.97,183.91
"12","CPT-0005U","onco prst8 gene xprs prfl 3 gene ur alg rsk s",636.12,1696.32
"13","CPT-0006M","hepatic carcinoma tumor tissue mopath assay",130.95,349.2
"14","CPT-0007M","oncology gastro 51 genes nomogram disease ind",327.38,873
"15","CPT-0007U","rx test presumptive urine w/def confirmation",95.78,255.41
"16","CPT-0008U","hpylori detection & antibiotic resistance dna",500.45,1334.54
"17","CPT-0009U","onc brst ca erbb2 copy number fish amp/nonamp",81.86,218.28
"18","CPT-00100","Anesth N Block/Inj Prone",3,7.27
"19","CPT-00102","Anesth N Block/Inj Prone",3,7.27
"20","CPT-00103","Anesth N Block/Inj Prone",3,7.27
"21","CPT-00104","Anesth N Block/Inj Prone",3,7.27
"22","CPT-0010U","nfct ds strn typ whl genome sequencing pr iso",373,994.66
"23","CPT-0011A","imm admn sarscov2 100 mcg/0.5 ml 1st dose",47.1,65.47
"24","CPT-0011M","onc prst8 ca mrna 12 genes bld plsm &/ur alg",636.12,1696.32
"25","CPT-0011U","rx mntr drugs present lc-ms/ms oral fluid pr",99.9,266.4
"26","CPT-00120","Anesth N Block/Inj Prone",3,7.27
"27","CPT-00124","Anesth N Block/Inj Prone",3,7.27
"28","CPT-00126","Anesth N Block/Inj Prone",3,7.27
"29","CPT-0012A","imm admn sarscov2 100 mcg/0.5 ml 2nd dose",47.1,65.47
"30","CPT-0012M","onc mrna 5 genes ur alg risk urothelial cance",636.12,1696.32
"31","CPT-0012U","germln do gene reargmt detcj dna whole blood",2196.12,5856.31
"32","CPT-0013A","imm admn sarscov2 100 mcg/0.5 ml 3rd dose",47.1,65.47
